               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11059,            0.027116,                   0,           0.0011229,             0.29759,           0.0014331,          0.00034821,            0.092928,            0.021067,                   0,              0.0811,              0.0021,              0.0021
                   1,            0.091031,            0.022556,                   0,           0.0027264,             0.75871,            0.032778,           0.0084336,            0.077248,             0.01677,                   0,            0.061215,           0.0042149,           0.0042149
                   2,            0.076912,            0.019724,                   0,             0.29581,             0.20384,             0.16314,            0.047393,            0.069279,            0.014374,                   0,            0.041243,           0.0062426,           0.0062426
                   3,            0.070185,            0.018522,                   0,             0.46107,             0.39142,             0.32893,             0.09271,            0.065821,            0.012785,                   0,            0.021183,           0.0081832,           0.0081832
                   4,             0.06507,            0.019257,                   0,              0.3794,             0.62608,             0.36506,              0.1255,            0.068808,            0.011482,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.058823,            0.019165,                   0,              0.5589,             0.53673,             0.52035,             0.20423,            0.056625,            0.011762,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.054962,            0.017395,                   0,             0.69755,             0.59249,             0.65799,             0.31627,            0.045279,             0.01113,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.050158,            0.015581,                   0,             0.60179,             0.58713,             0.64995,             0.19161,             0.05329,           0.0092098,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.04851,            0.013967,                   0,             0.75937,             0.69705,              0.7683,             0.30086,            0.045212,           0.0091874,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.046735,            0.013103,                   0,             0.77101,             0.75335,             0.84328,              0.3961,            0.041443,           0.0082392,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.044195,            0.012703,                   0,             0.80254,             0.84718,             0.83881,             0.29922,            0.043603,           0.0076434,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.041697,            0.011775,                   0,             0.85501,             0.78552,              0.8848,             0.47647,            0.039188,           0.0068559,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.040987,            0.010717,                   0,             0.84486,              0.8874,             0.93014,             0.50724,            0.036288,           0.0065509,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.040717,            0.010312,                   0,             0.90802,              0.8734,               0.936,             0.47755,            0.036937,           0.0060346,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.039159,           0.0097488,                   0,             0.87804,             0.90715,             0.91751,             0.45548,            0.035206,           0.0059209,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.038263,           0.0091457,                   0,             0.90054,             0.89813,             0.92327,             0.44302,            0.036931,           0.0059602,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.036735,           0.0094687,                   0,             0.91448,             0.91689,             0.94435,             0.51503,            0.032816,           0.0060089,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.035342,           0.0090414,                   0,             0.92854,             0.90573,             0.94822,             0.52241,            0.033006,           0.0058584,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.03578,           0.0091122,                   0,             0.95235,             0.91093,             0.96373,             0.54958,             0.03141,           0.0056097,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.035076,            0.008644,                   0,              0.9392,             0.95254,             0.97525,             0.59133,            0.028494,           0.0054423,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.033768,           0.0087831,                   0,             0.92788,             0.93132,             0.96823,             0.58432,            0.030002,           0.0054714,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.034105,           0.0087179,                   0,              0.9187,             0.90886,             0.96303,             0.58644,            0.030432,           0.0054464,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.03179,           0.0083626,                   0,             0.93241,              0.9437,             0.96525,             0.58227,            0.029708,           0.0054151,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.03295,           0.0086744,                   0,             0.93584,             0.93846,             0.95789,             0.56777,             0.03001,            0.005241,                   0,            0.005644,            0.005644,            0.005644
                  24,             0.03142,           0.0082155,                   0,             0.95675,             0.95174,             0.96948,             0.61464,            0.027269,           0.0050615,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.030903,            0.008315,                   0,             0.93865,             0.94337,             0.96802,             0.60936,            0.027385,           0.0050927,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.030395,           0.0078911,                   0,             0.93568,             0.93298,             0.96721,             0.59941,            0.027906,           0.0049825,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.02913,           0.0075375,                   0,             0.94244,             0.95442,             0.97454,             0.59734,            0.026728,           0.0049351,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.030033,           0.0077159,                   0,             0.93385,             0.94614,             0.97693,             0.62813,            0.026847,            0.004888,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.029391,           0.0076587,                   0,             0.92147,             0.97515,             0.98041,             0.64014,             0.02416,           0.0047589,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.028616,           0.0079995,                   0,             0.93489,             0.95979,             0.97601,             0.63309,            0.025947,            0.004817,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.028221,           0.0074384,                   0,             0.94526,             0.96783,             0.97891,             0.67509,            0.023114,            0.004715,                   0,             0.00406,             0.00406,             0.00406
                  32,             0.02697,           0.0076741,                   0,             0.95291,             0.96783,             0.98264,             0.66341,            0.023787,           0.0046701,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.027402,           0.0077903,                   0,             0.95955,             0.95979,             0.98021,             0.66974,            0.023213,           0.0046482,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.026796,           0.0072196,                   0,              0.9483,             0.98391,             0.98334,             0.67867,            0.023034,           0.0046006,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.025968,           0.0078043,                   0,             0.92768,             0.97051,             0.97735,             0.68382,            0.022052,           0.0045785,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.026788,            0.007796,                   0,             0.94562,             0.97902,             0.98532,             0.70111,            0.021455,           0.0044677,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.025289,           0.0071172,                   0,             0.94755,              0.9687,             0.98391,             0.67118,            0.022657,           0.0044565,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.024792,           0.0075089,                   0,              0.9515,             0.97587,             0.98365,             0.71313,            0.020616,           0.0043845,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.025121,           0.0073278,                   0,             0.95495,             0.97855,             0.98461,             0.71366,            0.020606,           0.0043754,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.023823,           0.0072576,                   0,             0.95188,             0.98123,             0.98458,             0.72667,            0.019995,           0.0043323,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.022923,           0.0073136,                   0,             0.94033,             0.98391,             0.98241,             0.71957,            0.020527,           0.0042963,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.02352,           0.0070596,                   0,             0.94279,             0.97855,              0.9823,             0.71173,            0.020526,           0.0042851,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.023066,           0.0064801,                   0,               0.948,             0.97754,             0.98089,             0.71779,            0.019919,           0.0042461,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.022703,           0.0067656,                   0,              0.9377,             0.98123,             0.98204,             0.70659,            0.020601,           0.0042391,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.022027,           0.0071435,                   0,             0.95805,             0.97976,             0.98586,             0.73808,             0.01873,           0.0041864,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.022146,           0.0069067,                   0,             0.95806,             0.97995,             0.98599,             0.74566,            0.018406,           0.0041778,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.022727,           0.0066702,                   0,             0.95524,             0.97855,             0.98608,              0.7501,            0.018494,           0.0041713,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.022211,           0.0068661,                   0,             0.95614,             0.97587,             0.98624,             0.74924,            0.017997,           0.0041376,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.022324,           0.0070619,                   0,                0.95,             0.98123,             0.98526,             0.75451,            0.017942,           0.0040849,                   0,            0.000496,            0.000496,            0.000496
